"batch_id","lab_batch_id","institution_name","batch_notes","num_sample","num_results","analytes"
1101,NULL,NULL,"OZCHEM inorganic geochemistry by ICP:AES, see results notes for details of OZCHEM batches. Data downloaded from OZCHEM in early 2021 (April/May)","3184","484","B, Hg, Se, Te"
1102,NULL,NULL,"OZCHEM inorganic geochemistry by N/A, see results notes for details of OZCHEM batches. Data downloaded from OZCHEM in early 2021 (April/May)","9","9","Be, Co, Dy, F, Gd, Ge, Ho, Li, Zr"
1103,NULL,NULL,"OZCHEM inorganic geochemistry by AAS, see results notes for details of OZCHEM batches. Data downloaded from OZCHEM in early 2021 (April/May)","86580","5765","Ag, Au, Be, Co, Cr, Cu, Li, Ni, Pb, Pd, Pt, Zn"
1104,NULL,NULL,"OZCHEM inorganic geochemistry by ICP:MS, see results notes for details of OZCHEM batches. Data downloaded from OZCHEM in early 2021 (April/May)","1380756","89984","Ag, As, Au, Ba, Be, Bi, Cd, Ce, Co, Cr, Cs, Cu, Dy, Er, Eu, Ga, Gd, Ge, Hf, Ho, Ir, La, Li, Lu, Mn, Mo, Nb, Nd, Ni, Os, Pb, Pd, Pr, Pt, Rb, Re, Rh, Ru, Sb, Sc, Se, Sm, Sn, Sr, Ta, Tb, Te, Th, Ti, Tl, Tm, U, V, W, Y, Yb, Zn, Zr"
1105,NULL,NULL,"OZCHEM inorganic geochemistry by XRF, see results notes for details of OZCHEM batches. Data downloaded from OZCHEM in early 2021 (April/May)","3813110","140701","Ag, Al2O3, As, Ba, Bi, Br, CaO, Cd, Ce, Cl, Co, Cr, Cs, Cu, F, Fe2O3, Ga, Ge, Hf, K2O, La, MLOI, MgO, Mn, MnO, Mo, Na2O, Nb, Nd, Ni, P, P2O5, Pb, Pr, Rb, S, SO3, Sb, Sc, Se, SiO2, Sn, Sr, Ta, Th, Ti, TiO2, Tl, U, V, W, Y, Yb, Zn, Zr"
1106,NULL,NULL,"OZCHEM inorganic geochemistry by IR, see results notes for details of OZCHEM batches. Data downloaded from OZCHEM in early 2021 (April/May)","4994","607","C, CO2, H2O_m, H2O_p"
1107,NULL,NULL,"OZCHEM inorganic geochemistry by SIE, see results notes for details of OZCHEM batches. Data downloaded from OZCHEM in early 2021 (April/May)","3","3","F"
1108,NULL,NULL,"OZCHEM inorganic geochemistry by TTR, see results notes for details of OZCHEM batches. Data downloaded from OZCHEM in early 2021 (April/May)","38673","4297","FeO"
1109,NULL,NULL,"OZCHEM inorganic geochemistry by CALC, see results notes for details of OZCHEM batches. Data downloaded from OZCHEM in early 2021 (April/May)","87760","15021","LOI, Rest, Sum"
1110,NULL,NULL,"OZCHEM inorganic geochemistry by SIMS, see results notes for details of OZCHEM batches. Data downloaded from OZCHEM in early 2021 (April/May)","66","57","DELTA_C13_CARB, DELTA_C13_KER, DELTA_O18_CARB"
1111,NULL,NULL,"OZCHEM inorganic geochemistry by GRAV, see results notes for details of OZCHEM batches. Data downloaded from OZCHEM in early 2021 (April/May)","51280","4206","C, CO2, H2O_m, H2O_p, MLOI, Sum"
1112,NULL,NULL,"OZCHEM inorganic geochemistry - rare earth elements. Data downloaded from OZCHEM in early 2021 (April/May)","19304","16454","HREE, LREE, REE, REY"
